Domstol,Målnummer,År,Brott,FUP,Dom,Påföljd,Notat,Flashbacktråd
Attunda TR,B 6440-22,2022,"Grov obehörig befattning med hemlig uppgift",Ja,,,"FUP från SÄPO. Ena misstänkta helt maskad"
Attunda TR,B 6724-15,2015,"Mord, brott mot griftefrid",Ja,TR,"Rättspsykiatrisk vård med särskild utskrivningsprövning"
Attunda TR,B 6879-22,2022,"Brott mot utlänningslagen, stöld",Ja,
Attunda TR,B 7225-22,2022,"Grovt vapenbrott, rån. Grov olovlig körning, rattfylleri, ringa narkotikabrott",Ja,,,"Två misstänkta"
Attunda TR,B 7380-22,2022,"Synnerligen grovt narkotikabrott, synnerligen grov narkotikasmuggling",Ja,"Deldom tingsrätt","Fängelse och fängelse samt utvisning, resp.","Två tilltalade"
Attunda TR,B 8380-20,2020,"Grovt häleri",Ja,"Svea hovrätt","Okänt"
Attunda TR,B 8814-18,2018,"Automatmissbruk, rån",Ja
Attunda TR,B 8840-19,2019,"Förberedelse till mord, mord",Ja,
Attunda TR,B 9004-23,2023,"Barnpornografibrott, grovt olovligt anskaffande av alkohol, sexuellt ofredande mot barn, våldtäkt mot barn",Ja,,,"Misstänkte född -98"
Attunda TR,B 9712-22,2022,"Brott mot lagen om brandfarliga och explosiva varor, synnerligen grovt vapenbrott",Ja,
Attunda TR,B 9760-23,2023,"Försök till mord, mord",Ja,TR,"Livstids fängelse"
Attunda TR,B 10010-20,2020,"Försök till mord, grovt vapenbrott. Anstiftan av försök till mord. Medhjälp till försök till mord.",Ja,TR,"Sluten ungdomsvård. Fängelse 18 år. Fängelse 8 år. Fängelse 10 år.","Fyra tilltalade. Ekrem Güngör försvarar ena tilltalade"
Attunda TR,B 11720-20,2020,"Grovt narkotikabrott",Ja,
"Attunda TR, Svea hovrätt",B 11763-23,2023,"Grovt brott mot tystnadsplikt, bBrott mot tystnadsplikt, dataintrång",Ja,TR,"Fängelse","Tilltalade var handläggare vid tingsrätten som röjde hemliga uppgifter. Överklagan till Svea hovrätt finns med (Svea HR B 238-24)."
Attunda TR,B 11948-22,2022,"Synnerligen grovt-, grovt- och narkotikabrott",Ja,TR,"Fängelse","Åtta tilltalade. FUP från Tullverket"
Attunda TR,B 11950-22,2022,"Förberedelse till mord, grovt narkotikabrott, grovt vapenbrott, ringa narkotikabrott",Ja,
Attunda TR,B 12175-22,2022,"Grovt vapenbrott, ringa narkotikabrott, grovt djurplågeri",Ja,,,"Får slaktat med slö kniv"
Attunda TR,B 12348-20,2020,"Grovt bidragsbrott, penningtvättsbrott, försök till bedrägeri, grovt penningtvättsbrott",Ja
Attunda TR,B 12678-19,2019,"Grovt vapenbrott, olaga hot, grovt- ringa samt narkotikabrott, brott mot knivlagen",Ja,TR,"Fängelse"
Attunda TR,B 13968-23,2023,"Fullbordad våldtäkt",Ja,TR,"Fängelse","Polis våldtog civilperson"
Blekinge TR,B 116-21,2021,"Grov stöld, grovt rån, mord"
Göteborgs TR,B 6947-24,2024,"Våldtäkt",,TR,"3 år 6 månader, utvisning",
Linköpings TR,B2426-20,2020,"Mord",Ja,TR,"Rättspsykiatrisk vård med särskild utskrivningsprövning","Dubbelmordet i Linköping"
Linköpings TR,B1538-14,2014,"Narkotikabrott innehav, försök till narkotikaförsäljning, narkotikasmuggling",Ja,,,"Idas shop, drogshop darknet"
Eksjö TR,B 187-22,2022,"Brott mot griftefriden, mord",Ja,TR,"Livstids fängelse i TR","Fallet Tove"
